"filename", "language", "HTML", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrap-theme.css", "CSS", 0, 0, 0, 469, 6, 2, 477
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrap-theme.min.css", "CSS", 0, 0, 0, 1, 4, 0, 5
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrap.css", "CSS", 0, 0, 0, 6570, 8, 7, 6585
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 4, 0, 5
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\bootstrapp.min.css", "CSS", 0, 0, 0, 1, 5, 0, 6
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\estilos.css", "CSS", 0, 0, 0, 60, 0, 13, 73
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\jquery.mCustomScrollbar.css", "CSS", 0, 0, 0, 812, 113, 343, 1268
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\main.css", "CSS", 0, 0, 0, 820, 32, 4, 856
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\material-design-iconic-font.min.css", "CSS", 0, 0, 0, 1, 0, 0, 1
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\material.min.css", "CSS", 0, 0, 0, 1, 8, 1, 10
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\normalize.css", "CSS", 0, 0, 0, 177, 162, 86, 425
"c:\Users\intel PC\Desktop\PYMEURBAN\web\css\sweetalert2.css", "CSS", 0, 0, 0, 487, 0, 31, 518
"c:\Users\intel PC\Desktop\PYMEURBAN\web\diseño.jsp", "HTML", 133, 0, 0, 0, 5, 41, 179
"c:\Users\intel PC\Desktop\PYMEURBAN\web\editCategoria.jsp", "HTML", 32, 0, 0, 0, 0, 8, 40
"c:\Users\intel PC\Desktop\PYMEURBAN\web\editCliente.jsp", "HTML", 43, 0, 0, 0, 0, 7, 50
"c:\Users\intel PC\Desktop\PYMEURBAN\web\editProducto.jsp", "HTML", 82, 0, 0, 0, 0, 14, 96
"c:\Users\intel PC\Desktop\PYMEURBAN\web\editdiseño.jsp", "HTML", 32, 0, 0, 0, 0, 9, 41
"c:\Users\intel PC\Desktop\PYMEURBAN\web\editempleado.jsp", "HTML", 37, 0, 0, 0, 0, 4, 41
"c:\Users\intel PC\Desktop\PYMEURBAN\web\editmarca.jsp", "HTML", 32, 0, 0, 0, 0, 7, 39
"c:\Users\intel PC\Desktop\PYMEURBAN\web\editpedidoprima.jsp", "HTML", 50, 0, 0, 0, 0, 8, 58
"c:\Users\intel PC\Desktop\PYMEURBAN\web\editprima.jsp", "HTML", 35, 0, 0, 0, 0, 5, 40
"c:\Users\intel PC\Desktop\PYMEURBAN\web\editproduccion.jsp", "HTML", 50, 0, 0, 0, 0, 8, 58
